happiness_rating,disapproval_rating,participant_id
7.8,0.7,1
6.7,3.7,2
2.2439917565671856,9.3,3
3.410864658599973,9.3,4
0.3,8.5,5
4.1,3.2,6
3.6,7.4,7
3.620321859580318,8.2,8
8.307799809387546,2.7,9
4.3984989394829475,5.0,10
9.9,1.7,11
3.7,7.2,12
2.236348735489827,7.8,13
9.2,2.9,14
1.0,9.0,15
0.8,8.7,16
8.4,2.9,17
6.522149452682074,4.0,18
0.5,7.5,19
7.7,0.8,20
4.216911162816965,8.7,21
8.6,0.3,22
3.4,9.2,23
0.3,9.1,24
3.5593944336666907,7.2,25
5.513360864331672,4.5,26
0.7,9.8,27
3.4693454084521327,9.0,28
9.183821125887818,1.2,29
2.6,8.6,30
8.59432738427596,1.5,31
6.4,4.4,32
7.2,2.4,33
7.6,0.8,34
7.5,1.0,35
3.386870685912965,8.6,36
4.6,5.6,37
3.5,9.6,38
8.983008962512503,1.4,39
10.0,2.3,40
4.1,3.2,41
2.419656275880599,9.7,42
8.6,1.5,43
4.3,5.0,44
3.3,8.1,45
8.072172217627033,5.9,46
7.6,1.6,47
9.691379888533234,2.4,48
2.8945744085626526,8.9,49
9.4,1.2,50
3.7,8.6,51
4.959987507926481,5.1,52
3.2,8.0,53
4.222607944132463,9.7,54
1.5810631703602975,10.0,55
4.4,3.6,56
0.7,9.7,57
6.0,3.5,58
5.3,4.8,59
4.3,5.6,60
3.2,8.5,61
3.9,8.3,62
5.244767686583407,9.0,63
5.9,3.5,64
6.6,4.3,65
2.252129369096571,7.0,66
8.7,1.6,67
10.0,2.7,68
4.2,5.2,69
7.6,2.6,70
10.0,1.6,71
9.1,0.9,72
8.4,2.5,73
9.193984324414949,1.1,74
2.3126339414177215,9.5,75
6.475901894795184,3.5,76
6.820949010283107,5.5,77
0.4,7.7,78
7.4,1.0,79
1.8,9.2,80
3.9425416504582653,8.9,81
8.641287883963532,2.5,82
5.4,5.9,83
2.5,7.4,84
2.7,8.0,85
6.1,3.2,86
4.662459269613345,5.6,87
9.685163590975527,2.5,88
1.4124030158611987,8.9,89
10.0,1.5,90
1.2,7.6,91
6.0545598651328945,3.9,92
7.587636207816079,5.8,93
7.918845924163994,5.3,94
10.0,2.0,95
9.532203090755669,2.7,96
9.578879043238976,1.7,97
7.3,1.3,98
1.8,9.6,99
5.6,4.1,100
9.9,0.3,101
2.6353624249697543,7.1,102
3.0,9.8,103
2.338779938733004,9.6,104
1.2,9.7,105
9.3,2.4,106
4.1,5.9,107
3.722380951738982,7.9,108
3.3,7.8,109
9.6,0.3,110
2.8,8.6,111
7.3,0.7,112
7.0,1.4,113
5.7549729081805365,4.8,114
5.560569335004169,3.9,115
7.328463633369072,3.1,116
10.0,2.6,117
2.7,8.8,118
10.0,0.6,119
9.068866077506883,0.7,120
4.578175307496459,7.1,121
3.94654642536006,10.0,122
3.4,8.6,123
0.3,9.5,124
5.8,3.3,125
4.3,5.7,126
10.0,2.5,127
8.159033402848127,4.7,128
5.6,4.3,129
8.032400794678935,1.3,130
3.1,8.8,131
6.7,4.3,132
8.8,1.9,133
8.8,2.1,134
0.9,8.5,135
7.3,1.2,136
3.6367608495590704,9.0,137
6.980277718170734,4.8,138
6.2,4.5,139
5.9,3.2,140
1.0,8.1,141
5.4,3.1,142
2.379826752725725,7.8,143
6.9,4.0,144
8.4,0.6,145
2.4,7.8,146
2.7839254944772867,8.5,147
4.588134924353556,3.0,148
0.9,7.1,149
0.4,8.0,150
3.2,8.7,151
2.1,7.9,152
3.7,8.2,153
0.7206371125715874,8.9,154
4.3,4.0,155
2.0,9.6,156
10.0,2.1,157
4.506052681840506,7.4,158
1.1,8.2,159
10.0,1.2,160
3.6,9.1,161
9.005685184314954,0.9,162
6.751910392758717,5.9,163
5.258303110201231,7.0,164
8.9,0.2,165
2.347677796540009,7.2,166
2.4,9.1,167
4.3,4.2,168
8.4,1.1,169
9.093774448857905,1.3,170
6.948658754703036,3.2,171
0.3,8.1,172
8.152967499041209,5.0,173
9.0,1.1,174
6.988483654617195,3.0,175
5.9,5.7,176
3.706300240245894,9.6,177
9.2,0.4,178
3.6,7.2,179
5.6,3.4,180
0.0,8.3,181
4.9,4.5,182
5.7,3.1,183
1.8650649190754431,8.7,184
8.0,2.2,185
3.7507183462581972,9.5,186
3.6581247386053315,8.3,187
9.551845388761095,0.8,188
9.437162661826404,2.4,189
1.8,9.4,190
9.5,2.6,191
7.152544860006373,4.3,192
5.0,4.7,193
6.484708612308828,4.8,194
9.1,2.1,195
1.5,7.5,196
2.1666656452986532,7.4,197
4.850660339908908,8.0,198
2.0941565342580577,7.1,199
9.33742777781308,1.9,200
1.5198866017226165,7.2,201
8.2,0.9,202
9.0,1.8,203
8.361947485988347,0.7,204
8.21199393454205,4.4,205
2.8,7.4,206
1.9,7.1,207
7.198892812451471,5.9,208
