"","sleep_hours","caffeine_group","reaction_time"
"1",5.5930519788526,"Moderate",190.528507403188
"2",6.23274339782074,"High",130.884765427322
"3",7.43712018011138,"High",79.074945226664
"4",9.44924673996866,"None",157.305638556722
"5",5.21009158622473,"None",260.864329749958
"6",9.39033810980618,"Moderate",118.574818336973
"7",9.66805161163211,"Moderate",95.6444788603839
"8",7.96478675492108,"Moderate",157.537411011542
"9",7.77468426339328,"None",207.980250790609
"10",4.37071762280539,"None",279.672384067266
"11",5.23584744939581,"None",266.083695677022
"12",5.05934051517397,"Moderate",206.146258310014
"13",8.1221370799467,"None",196.695349159054
"14",6.30462230928242,"High",127.454302703951
"15",8.61904851999134,"Moderate",135.107708749998
"16",6.98619545251131,"High",124.50727303774
"17",8.30571104958653,"High",85.6821451623296
"18",9.9514365689829,"Moderate",122.222948184717
"19",6.28021107660607,"High",140.674647494596
"20",8.66467132791877,"High",70.9142649108958
"21",9.60823138663545,"None",153.945585894526
"22",5.27285512769595,"None",260.816130522103
"23",7.91004259651527,"Moderate",151.251933475956
"24",4.7533305757679,"Moderate",250.470566222789
"25",5.60332401236519,"None",278.957707144976
"26",6.31668455526233,"Moderate",170.30246176625
"27",4.08034199895337,"High",200.961645252749
"28",6.29432774242014,"High",148.602042921509
"29",9.21814507432282,"High",69.9847555666456
"30",6.04209398012608,"High",187.351751327662
"31",6.89248069282621,"High",146.544898353113
"32",7.59739495255053,"None",202.54445141931
"33",6.96124784229323,"High",116.590392514044
"34",5.11730560846627,"None",272.621425150976
"35",8.96423991164193,"High",91.0019952291193
"36",8.01080042915419,"Moderate",165.345893745656
"37",8.76543916435912,"None",203.29237254867
"38",4.64766175532714,"High",191.89427221337
"39",8.34226567624137,"None",169.57774994213
"40",6.46764657786116,"Moderate",163.747506271193
"41",8.92567776469514,"None",189.573030336562
"42",7.88236116291955,"Moderate",167.246167806589
"43",8.69759657373652,"Moderate",106.750325725429
"44",7.31821786984801,"Moderate",168.639362551687
"45",7.17831748118624,"High",120.603592324696
"46",8.73613739013672,"None",178.686974076528
"47",4.13998721400276,"Moderate",261.143357520092
"48",6.86338039021939,"High",151.661184687776
"49",8.3938824320212,"High",91.4653929470429
"50",8.15638933889568,"High",115.870783486084
"51",6.86571773281321,"High",113.638694893628
"52",9.1672568609938,"Moderate",109.494024097252
