"","stress_level","training_group","recall_score"
"1",2.66394033934921,"No Training",80.2223570992916
"2",7.32136632362381,"Mindfulness",82.4779923017943
"3",6.15993701340631,"No Training",61.593535860745
"4",2.51246728328988,"Mindfulness",85.2108142526161
"5",9.49455404956825,"Mindfulness",65.4118604013183
"6",9.49127462785691,"No Training",35.7402498557612
"7",2.16243079048581,"No Training",73.677485321334
"8",8.50103934062645,"Mindfulness",65.904489544042
"9",5.21216663951054,"Mindfulness",71.9913442128523
"10",5.94985367543995,"No Training",45.5887275456557
"11",5.97406660276465,"Mindfulness",74.5855160546393
"12",3.15005283500068,"Mindfulness",78.5241946149771
"13",7.84461981803179,"Mindfulness",65.5792125947866
"14",2.6273809063714,"No Training",64.1544866507044
"15",4.64753963099793,"No Training",68.1776577315643
"16",8.68193607660942,"Mindfulness",66.3724750164165
"17",9.78758640494198,"No Training",36.4348232000253
"18",3.03242914984003,"Mindfulness",79.4772320685287
"19",5.00328306201845,"Mindfulness",79.8923342012495
"20",1.67481482238509,"No Training",72.682061831623
"21",6.95708882645704,"Mindfulness",75.8437992284143
"22",4.48794588330202,"No Training",65.1209446129394
"23",8.53200259176083,"No Training",34.7730762723638
"24",2.35451296670362,"Mindfulness",73.3627885942985
"25",4.12545024044812,"No Training",68.97851440051
"26",5.3989590825513,"No Training",54.3378801980368
"27",2.34322176571004,"No Training",79.2261993222496
"28",4.21356331068091,"No Training",67.4681663109631
"29",9.66379643441178,"No Training",27.983574601366
"30",2.1913480295334,"Mindfulness",83.2424995467643
"31",1.09373072860762,"No Training",88.3170688204855
"32",2.48178017814644,"No Training",74.2622030276178
"33",8.2917293002829,"Mindfulness",65.1484944571268
"34",8.81974933156744,"No Training",32.8594109760329
"35",5.6285358669702,"No Training",62.6152532231846
"36",6.64476657914929,"No Training",43.4158477792031
"37",8.59986102767289,"Mindfulness",64.0228175300591
"38",3.56383516825736,"No Training",70.9380018403577
"39",7.00503082945943,"No Training",49.3097814134461
"40",2.35422776825726,"No Training",79.2122468261326
"41",9.83555076038465,"No Training",32.979031857011
"42",3.67309661628678,"Mindfulness",82.228304181046
"43",2.03575667832047,"No Training",76.4468954099596
"44",2.46880784607492,"Mindfulness",79.4525797757708
"45",9.49637627322227,"No Training",26.4574118909628
"46",8.15377441211604,"Mindfulness",73.9016266452289
"47",9.7721910784021,"Mindfulness",66.5470745520193
"48",4.14179569552653,"Mindfulness",77.6055075963778
"49",5.51772892801091,"No Training",50.7010966052931
"50",8.29357536416501,"Mindfulness",64.6543397462339
"51",1.06398134259507,"Mindfulness",81.1643068904006
"52",1.13224519859068,"Mindfulness",89.5399963305663
"53",7.15063080540858,"No Training",47.3805083609654
"54",9.36748199607246,"No Training",35.4144982794666
"55",3.47861078684218,"No Training",64.6049919409921
"56",8.30673725926317,"No Training",36.8986572025704
"57",8.07291021500714,"No Training",40.2502655201524
"58",9.90011939988472,"No Training",25.9259693961632
"59",6.52557618636638,"Mindfulness",63.5708705364506
"60",7.39167157118209,"Mindfulness",64.4026710033364
"61",7.93025070917793,"Mindfulness",64.6186486599334
"62",8.98285741428845,"Mindfulness",61.4739764841341
"63",6.62609556713142,"Mindfulness",74.5433249161953
"64",3.34270031820051,"No Training",64.2866067825283
"65",8.73165806056932,"Mindfulness",67.4659224594327
"66",4.93739201803692,"No Training",66.2586925654514
"67",4.49330281838775,"No Training",63.1663259358687
"68",5.15350994700566,"No Training",61.6546061664262
"69",2.96807674039155,"Mindfulness",87.3030508164424
"70",1.59341959399171,"Mindfulness",81.8138872074647
"71",3.48130923998542,"No Training",62.7515484484455
"72",3.79342987737618,"No Training",66.8555649672496
"73",1.37957973429002,"Mindfulness",83.3509741869563
"74",2.66206116904505,"No Training",72.6960451844988
"75",2.65035905363038,"Mindfulness",79.2016933669039
"76",7.79916174802929,"Mindfulness",68.9791675202934
"77",3.59253758960404,"No Training",66.2309768891738
"78",8.81060196156614,"No Training",33.1937884011639
"79",4.6237846238073,"No Training",57.973413708284
"80",6.15416503162123,"No Training",49.3429147371556
"81",4.15578317455947,"Mindfulness",75.0397326929467
"82",7.04799035470933,"Mindfulness",74.3043666327587
"83",1.22545320866629,"Mindfulness",90.9317942678104
"84",4.60990934073925,"Mindfulness",77.9930397666751
"85",2.79978876933455,"No Training",68.368495735487
"86",8.7087250079494,"Mindfulness",66.5235670668633
"87",9.7436388565693,"Mindfulness",65.6130324430802
"88",3.91350193112157,"Mindfulness",87.802522890555
"89",7.59872290026397,"No Training",47.4049807040695
"90",4.06061416165903,"Mindfulness",76.2590177949615
"91",9.79079666128382,"Mindfulness",65.3677034469492
"92",4.57314770692028,"Mindfulness",75.8421930683401
"93",4.41998991346918,"Mindfulness",75.7713986992728
"94",6.04348867223598,"Mindfulness",75.5157376319483
"95",5.17427361221053,"Mindfulness",79.619203452435
